"pressure","concentration","velocity:0","velocity:1","velocity:2","ALE_velocity:0","ALE_velocity:1","ALE_velocity:2","heaviside","edgeSize","kappa","distance","gravity:0","gravity:1","gravity:2","surface_force:0","surface_force:1","surface_force:2","normal:0","normal:1","normal:2","viscosity","density","Points:0","Points:1","Points:2"
1.5419,0,0.00051949,0.096374,0.012731,-0.0046344,0.024483,-0.049242,0.5,0.055472,4.4661,0,0,0,-1,0.00016854,-0.0025522,0.0027363,-0.0047432,0.65034,-0.75792,0.95,0.55,0,0.4098,-1.0755
1.5325,0,-0.0011759,-0.071375,0.014126,-0.063788,-0.34364,0.3069,0.5,0.052113,5.0978,0,0,0,-1,-0.00010849,0.0027403,0.0023275,-0.0028373,-0.73073,-0.68224,0.95,0.55,0,-0.43612,-1.0547
1.5195,0,-0.00097076,-0.079101,0.0089127,-0.10246,-0.31285,0.25816,0.5,0.050967,4.854,0,0,0,-1,-8.3242e-05,0.0025296,0.0022065,-0.0033763,-0.7158,-0.69691,0.95,0.55,0,-0.43118,-1.0594
1.4401,0,-0.0015657,-0.052454,0.016564,-0.013659,-0.044136,-0.00021534,0.5,0.059327,4.6395,0,0,0,-1,6.5607e-05,0.0033476,0.0022956,-0.0015004,-0.85314,-0.5172,0.95,0.55,0,-0.47976,-0.99606
1.4533,0,-0.00078008,-0.06048,0.016341,-0.013457,-0.057766,0.011961,0.5,0.057373,4.6511,0,0,0,-1,8.8078e-05,0.0034768,0.0027175,-0.001833,-0.81989,-0.57017,0.95,0.55,0,-0.468,-1.0145
1.4657,0,-0.0010142,-0.10924,-0.010806,-0.1286,-0.09804,-0.039698,0.5,0.047562,3.9061,0,0,0,-1,-5.7337e-05,0.0018669,0.0018891,-0.0031663,-0.65797,-0.75224,0.95,0.55,0,-0.41216,-1.0764
1.493,0,-0.0009304,-0.11034,-0.0080009,-0.15773,-0.037036,-0.068825,0.5,0.050412,3.9966,0,0,0,-1,-0.00016951,0.0021644,0.0025082,-0.0029388,-0.62842,-0.77609,0.95,0.55,0,-0.40185,-1.085
1.2359,0,0.0014611,-0.018908,-0.01042,-0.00045489,-0.015713,-0.021894,0.5,0.056756,4.1979,0,0,0,-1,-8.8596e-05,-0.0036289,-0.0010975,-0.0044334,0.96203,0.27074,0.95,0.55,0,0.5158,-0.69294
1.2709,0,0.0010495,-0.01325,-0.0019426,-0.00053613,-0.010873,-0.01759,0.5,0.060436,4.2984,0,0,0,-1,-0.00013576,-0.0039871,-0.00074401,-0.0047343,0.98694,0.14891,0.95,0.55,0,0.52638,-0.74386
1.2432,0,0.0013282,-0.017677,-0.0084689,-0.00052199,-0.01466,-0.020935,0.5,0.05778,4.2181,0,0,0,-1,-0.00011308,-0.0037609,-0.0009706,-0.004678,0.96805,0.24413,0.95,0.55,3.4694e-18,0.51843,-0.70406
1.3588,0,0.0001199,-0.013604,0.011514,-0.0023742,-0.008277,-0.017567,0.5,0.059345,4.5384,0,0,0,-1,0.0004426,0.0050355,0.0013629,-0.0026688,-0.98158,-0.18579,0.95,0.55,0,-0.52611,-0.87598
1.3892,0,0.00025771,-0.026704,0.016202,-0.0047056,-0.015649,-0.019155,0.5,0.060791,4.6056,0,0,0,-1,0.00027847,0.0063896,0.0017931,-0.0017986,-0.94984,-0.30725,0.95,0.55,0,-0.51437,-0.92063
